area,year,barley,beef_and_buffalo_meat_primary,cereals_primary,eggs_primary,fruit_primary,meat_poultry,milk_total,potatoes,sheep_and_goat_meat,vegetables_primary,wheat,temp_change,people_employed_000,pesticide_used_tonnes,total_precipitation,total_population,agriculture_value,country_code
Austria,2015-01-01,5537.6,3303.0,6198.1,169119.0,12885.3,16276.0,60150.0,26339.0,216.0,35827.5,5696.2,2.175,587.42,3777.62,1077.1112,8642.421,2935.599947,AUT
Austria,2016-01-01,6122.1,3326.0,7246.4,169741.0,7363.8,16307.0,61590.0,36155.7,214.0,35611.3,6253.4,2.1,609.92,4361.49,1339.6599,8736.487,3076.816281,AUT
Austria,2017-01-01,5630.0,3345.0,6260.6,169744.0,10351.4,15886.0,62137.0,28419.8,227.0,33734.4,4871.2,1.746,593.0,4624.88,1245.3923,8797.496,3698.271158,AUT
Austria,2018-01-01,4961.8,3363.0,6145.8,171117.0,16461.2,14233.0,62098.0,29374.2,211.0,33290.8,4645.3,2.53,583.72,5279.54,1193.3326,8840.513,3731.391107,AUT
Austria,2019-01-01,6034.2,3374.0,6954.3,171131.0,11243.2,14242.0,62375.0,31341.7,208.0,35150.8,5737.2,2.375,587.67,4954.46,1281.8682,8879.94,3443.192464,AUT
Austria,2020-01-01,6415.9,3387.0,7386.4,181700.0,12389.1,14400.0,62887.0,36516.5,208.0,36767.0,5923.4,2.322,563.02,5566.03,1297.2804,8907.777,3552.552897,AUT
Austria,2021-01-01,6006.6,3318.0,7112.4,154597.5,11803.8,14558.0,62471.0,34117.5,208.0,37526.4,5529.9,1.41,551.56,5790.56,1247.4596,8922.082,4328.344425,AUT
Belgium,2000-01-01,6874.2,3306.0,8021.4,127495.0,44196.2,14716.0,59544.0,44405.8,206.0,29153.7,7919.8,1.482,496.09,9560.49,1058.8652,10264.343,2631.56238,BEL
Belgium,2001-01-01,7159.2,3266.0,8218.1,148918.0,26593.2,15726.0,58619.0,41226.7,222.0,28576.6,8047.5,1.333,464.16,8529.07,1087.4242,10309.255,2473.982336,BEL
Belgium,2002-01-01,7548.5,3275.0,8500.9,139437.0,31566.6,15710.0,57047.0,47147.5,198.0,29248.9,8275.7,1.394,496.47,9204.0,1025.932,10355.568,2515.171811,BEL
Belgium,2003-01-01,6637.7,3223.0,8530.7,149853.0,30507.6,15659.0,59815.0,42531.8,184.0,29556.6,8578.6,1.523,468.97,8822.0,722.1305,10402.55,3088.255626,BEL
Belgium,2004-01-01,7869.7,3334.0,9184.9,154035.0,34973.7,15638.0,55581.0,48395.5,196.0,31832.8,8980.6,1.089,506.53,9186.0,847.9148,10456.163,3579.743346,BEL
Belgium,2005-01-01,7547.8,3245.0,8649.5,136065.0,30452.3,15902.0,56940.0,42813.5,206.0,30242.4,8273.3,1.198,513.68,9776.0,788.71344,10516.978,3054.519226,BEL
Belgium,2006-01-01,7495.7,3502.0,8373.3,156489.0,33025.1,16098.0,54792.0,38545.2,202.0,30609.0,8254.9,1.406,503.11,8244.02,911.3866,10582.975,3491.478398,BEL
Belgium,2007-01-01,7705.1,3532.0,8637.7,146313.0,33829.4,16852.0,56475.0,46949.1,198.0,31292.8,7890.8,1.889,511.17,6712.05,985.3129,10653.697,3914.937298,BEL
Belgium,2008-01-01,6000.1,3508.0,8885.8,140433.0,26556.3,12288.0,54032.0,46071.1,191.0,31586.4,8758.5,1.261,439.59,6516.47,939.2252,10726.716,3467.537264,BEL
Belgium,2009-01-01,8390.6,3314.0,9710.0,129007.0,32182.3,12446.0,55027.0,44708.3,202.0,32722.5,9465.2,1.159,432.81,5496.04,865.9028,10801.356,2944.807327,BEL
Belgium,2010-01-01,9145.7,3372.0,9348.1,145674.0,35132.5,13088.0,59782.0,42267.6,180.0,32822.0,8827.2,0.236,427.33,4644.53,912.57733,10877.947,3510.254579,BEL
Belgium,2011-01-01,7695.2,3176.0,9009.0,138079.0,28240.4,13184.0,61892.0,50141.2,183.0,32063.1,8404.6,1.29,415.85,6297.22,788.48303,10955.743,3190.912958,BEL
Belgium,2012-01-01,7823.5,3189.0,8666.3,128100.0,25809.3,13300.0,61610.0,45423.3,175.0,32411.9,8452.2,1.137,397.01,6584.48,984.51306,11031.139,3706.955826,BEL
Belgium,2013-01-01,8325.2,3101.0,9212.5,156122.0,29110.0,13336.0,73361.0,45464.2,188.0,33911.0,8934.9,0.472,408.07,6334.74,862.8831,11103.257,3380.029165,BEL
Belgium,2014-01-01,8473.9,3085.0,9435.4,127686.0,36168.7,14708.0,69544.0,54000.3,199.0,33846.2,9412.9,2.408,411.62,7179.63,929.9839,11176.723,3227.943192,BEL
Belgium,2015-01-01,8982.1,3070.0,9842.2,110897.0,34641.0,14906.0,73725.0,46922.6,194.0,30463.6,10015.2,1.355,408.44,6479.24,829.93854,11248.303,3015.552571,BEL
Belgium,2016-01-01,6237.1,3054.0,6984.8,104122.0,29889.2,15043.0,71390.0,38163.2,196.0,31988.9,6787.1,1.865,419.36,6570.44,929.81903,11316.836,2810.952718,BEL
Belgium,2017-01-01,8416.4,3060.0,9050.7,104204.0,21146.9,15378.0,75960.0,47565.2,209.0,31256.6,8617.4,1.711,422.47,6245.92,862.7577,11384.489,3191.688228,BEL
Belgium,2018-01-01,7687.9,3123.0,7983.1,102097.8,32960.0,15357.0,61836.2,32630.9,209.0,31466.6,8492.3,2.173,423.86,6355.29,772.61945,11448.595,3119.845624,BEL
Belgium,2019-01-01,8577.0,3148.0,8988.5,99991.6,31781.8,15119.0,47712.4,41018.6,218.0,33348.8,9336.4,2.055,433.39,5940.6,910.44916,11510.568,3434.547796,BEL
Belgium,2020-01-01,7491.4,3252.0,8430.6,97885.4,31072.1,15576.0,33588.600000000006,40362.7,214.0,32160.8,8946.3,2.542,404.87,5667.46,855.52954,11561.717,3431.280632,BEL
Belgium,2021-01-01,7845.0,3222.0,7906.2,95779.2,33907.7,16033.0,19464.800000000003,43054.6,213.0,35996.3,7788.4,1.176,383.53,5575.94,1102.3695,11611.419,2414.701907,BEL
Bulgaria,2000-01-01,2676.8,1807.0,2459.9,93673.0,4656.8,16490.0,5341.0,7526.2,207.0,9398.1,2842.1,1.171,933.78,2876.0,475.23853,8097.691,1398.123182,BGR
Bulgaria,2001-01-01,3185.9,1352.0,2898.5,98603.0,3902.4,16525.0,5361.0,12392.1,115.0,10048.1,3008.1,1.63,792.55,2747.25,708.2185,8034.86,1459.508325,BGR
Bulgaria,2002-01-01,3115.9,1435.0,3156.3,93844.0,4119.9,16678.0,6799.0,12089.4,114.0,10158.0,3012.3,0.837,829.73,2618.5,876.1147,7974.81,1538.39117,BGR
Bulgaria,2003-01-01,1940.0,1618.0,2371.3,132405.0,4427.5,16471.0,6371.0,15131.2,104.0,14419.3,2382.8,0.164,869.26,2489.75,709.3927,7917.739,1845.384039,BGR
Bulgaria,2004-01-01,3590.0,1373.0,4077.8,137716.0,3529.4,17593.0,7141.0,18685.5,113.0,13102.3,3810.0,0.508,882.5,2361.0,713.50964,7865.316,2116.805996,BGR
Bulgaria,2005-01-01,2487.0,1430.0,3387.0,128888.0,2723.1,17215.0,6550.0,15644.8,114.0,12714.5,3156.7,0.189,828.27,2232.25,1027.8942,7815.221,2022.636795,BGR
Bulgaria,2006-01-01,2941.7,1399.0,3572.5,124584.0,3465.8,17839.0,7284.0,15775.8,113.0,14194.3,3402.6,0.542,821.12,2103.5,738.5585,7766.036,1934.434991,BGR
Bulgaria,2007-01-01,2246.5,1500.0,2523.7,112158.0,3688.9,17469.0,6642.0,13319.7,99.0,11152.6,2197.3,1.853,813.15,1974.75,780.056,7719.035,1894.615304,BGR
Bulgaria,2008-01-01,3943.3,1474.0,4094.3,121080.0,3900.0,17779.0,7038.0,16261.8,102.0,15138.8,4167.4,1.146,751.39,1846.0,615.7564,7674.913,2953.743752,BGR
Bulgaria,2009-01-01,3321.8,1486.0,3413.0,119439.0,3679.6,17603.0,6923.0,16550.8,96.0,16295.0,3187.3,1.259,707.54,1717.25,773.29266,7634.735,1957.998377,BGR
Bulgaria,2010-01-01,3396.6,1420.0,4031.0,125522.0,3696.6,18290.0,7622.0,18196.7,105.0,17244.2,3618.5,1.334,667.38,1588.5,867.314,7592.273,1772.177317,BGR
Bulgaria,2011-01-01,3950.0,1419.0,4251.2,114547.0,4090.5,19002.0,8016.0,14323.6,111.0,16546.1,3919.7,0.394,649.62,1459.75,621.9461,7543.13,2419.126055,BGR
Bulgaria,2012-01-01,3457.8,1430.0,3671.8,128223.0,4646.8,18843.0,7379.0,10151.5,115.0,14455.5,3759.6,1.647,623.74,1331.0,712.4185,7488.344,2159.653099,BGR
Bulgaria,2013-01-01,3691.0,1456.0,4561.0,139416.0,6989.7,18832.0,8536.0,14612.5,104.0,18485.5,4188.5,1.44,612.18,1196.27,694.9275,7431.167,2250.525935,BGR
Bulgaria,2014-01-01,3969.5,1363.0,4860.7,136282.0,5473.6,19275.0,7593.0,13005.0,100.0,20854.3,4217.2,1.128,637.31,1002.03,1110.3364,7372.141,2310.770935,BGR
Bulgaria,2015-01-01,3966.1,1352.0,4669.6,133306.0,6990.2,18923.0,7396.0,14963.3,101.0,15571.5,4531.6,1.344,628.74,1541.93,774.25146,7309.253,1800.668783,BGR
Bulgaria,2016-01-01,4316.1,929.0,4817.8,132955.0,6530.1,19408.0,7520.0,15184.1,112.0,16963.9,4748.3,1.796,619.01,3759.14,754.105,7245.975,1955.61002,BGR
Bulgaria,2017-01-01,4637.1,1456.0,5479.7,129767.0,7128.1,19195.0,7254.0,17789.7,104.0,19053.2,5358.3,0.843,667.62,3383.04,801.3983,7182.428,2149.576241,BGR
Bulgaria,2018-01-01,4332.3,1458.0,5561.7,120093.2,7457.7,19118.0,6695.0,18559.6,117.0,21434.9,4912.9,2.072,636.47,5044.05,819.5495,7117.431,1927.109055,BGR
Bulgaria,2019-01-01,5026.8,1517.0,5774.7,110419.4,7360.2,19083.0,6524.0,21249.7,120.0,20255.8,5272.2,1.991,638.22,6660.0,672.11896,7052.532,1940.136898,BGR
Bulgaria,2020-01-01,4331.0,1511.0,4373.4,100745.6,6932.5,16720.333333333332,6804.0,19329.6,119.0,20124.1,4039.3,1.938,576.43,4225.98,704.3977,6979.175,2164.148378,BGR
Bulgaria,2021-01-01,5574.1,1561.0,5949.6,91071.8,7592.7,14357.666666666668,7181.0,17948.6,136.0,21553.6,6087.8,1.511,539.49,4481.58,885.5427,6885.868,3321.1894,BGR
Croatia,2000-01-01,3236.3,1888.0,4114.8,81398.0,7368.1,11995.0,15780.0,8488.3,117.0,16549.2,4745.5,1.636,608.83,2722.53,899.4693,4548.434,929.881057,HRV
Croatia,2001-01-01,3134.9,1957.0,4840.3,81747.0,6529.1,11898.0,17044.0,10210.6,121.0,19979.5,4404.7,1.61,587.24,2616.17,1093.2028,4506.759,994.117358,HRV
Croatia,2002-01-01,3375.8,1790.0,5316.2,81456.0,6713.2,11414.0,17314.0,11389.2,117.0,21821.9,4591.9,1.278,564.84,2509.8,1217.4894,4482.868,1129.550569,HRV
Croatia,2003-01-01,2464.6,1971.0,3601.0,81247.0,6402.3,11170.0,19844.0,5944.0,163.0,16326.8,3220.7,1.291,565.52,2403.44,790.1715,4461.139,1155.520114,HRV
Croatia,2004-01-01,3518.1,2007.0,5408.9,79348.0,7299.4,11661.0,17542.0,15399.7,126.0,23380.1,4927.8,0.681,578.05,2297.07,1237.5911,4443.35,1594.841488,HRV
Croatia,2005-01-01,3228.6,2065.0,5592.8,84237.0,6393.7,11917.0,20189.0,14463.8,112.0,26338.2,4114.4,0.307,572.03,2183.95,1145.6586,4429.681,1498.481322,HRV
Croatia,2006-01-01,3638.7,2106.0,5420.2,88114.0,6811.8,11929.0,22910.0,16381.0,115.0,28930.4,4583.3,0.734,521.79,2213.84,987.51636,4417.56,1728.427501,HRV
Croatia,2007-01-01,3818.1,2105.0,4558.1,87206.0,7067.2,11876.0,23298.0,17073.0,117.0,24519.3,4640.8,2.0,557.13,2079.22,1044.0386,4405.532,1884.560515,HRV
Croatia,2008-01-01,4258.8,2017.0,6639.1,86507.0,6495.3,11904.0,23169.0,17036.9,97.0,30881.5,5483.3,1.479,514.87,2452.6,1070.6357,4393.664,2300.637609,HRV
Croatia,2009-01-01,4088.5,1673.0,6109.8,85147.0,6912.1,11883.0,22866.0,19303.6,96.0,30389.1,5189.6,1.517,513.6,2134.99,1098.7542,4382.13,2131.75468,HRV
Croatia,2010-01-01,3281.5,1339.0,5456.0,84506.0,7158.0,22168.0,26437.0,16311.5,85.0,29072.6,4041.5,0.883,505.63,1605.37,1412.276,4368.682,1818.527147,HRV
Croatia,2011-01-01,4014.3,1377.0,5220.0,98993.0,7447.1,18040.0,27292.0,15396.0,143.0,26649.0,5223.7,1.279,486.71,1682.32,695.28375,4351.842,1851.806418,HRV
Croatia,2012-01-01,4143.4,2137.0,4573.6,80134.0,6216.5,21523.0,24666.0,14784.8,129.0,24311.5,5347.3,1.866,444.8,1759.27,970.8728,4331.595,1471.665584,HRV
Croatia,2013-01-01,3742.6,2291.0,5444.9,91528.0,9322.3,14389.0,25191.0,15878.5,118.0,31984.9,4884.6,1.288,402.73,2006.44,1236.1146,4308.854,1594.758958,HRV
Croatia,2014-01-01,3804.0,2276.0,6027.7,92922.0,7422.2,14592.0,25210.0,15601.1,119.0,33374.4,4156.0,2.053,378.13,2119.04,1465.9718,4283.972,1275.375354,HRV
Croatia,2015-01-01,4426.8,2295.0,5695.0,111587.0,7394.0,14524.0,30047.0,17037.8,135.0,31886.3,5380.9,1.943,386.94,2310.93,974.7831,4254.815,1124.741828,HRV
Croatia,2016-01-01,4659.2,2348.0,6665.5,114212.0,6162.8,13448.0,23194.0,19659.6,116.0,36293.5,5653.7,1.852,369.59,1861.2,1155.9691,4223.751,1237.338057,HRV
Croatia,2017-01-01,4827.2,2333.0,5704.8,113075.0,5985.5,13716.0,22502.0,15874.0,116.0,27795.6,5808.4,1.568,358.98,1577.41,1083.2178,4192.467,1241.335996,HRV
Croatia,2018-01-01,4514.0,2427.0,7055.6,113594.4,8883.2,14261.0,21347.0,19661.3,116.0,35766.8,5438.8,2.325,359.51,1697.66,1122.6525,4160.485,1413.298043,HRV
Croatia,2019-01-01,5191.9,2480.0,7157.3,114113.8,7251.0,14806.0,20500.0,18439.8,114.0,34606.0,5611.4,2.121,350.03,1563.81,1197.9235,4129.752,1409.38844,HRV
Croatia,2020-01-01,4907.6,2556.0,6992.4,114633.2,7150.8,15351.0,22583.0,18679.5,115.0,38370.4,5868.0,2.026,327.9,1655.09,1002.09,4096.869,1390.4647,HRV
Croatia,2021-01-01,5484.6,2527.0,7012.9,115152.6,6624.7,15896.0,22353.0,14542.7,115.0,31463.5,6696.0,1.618,334.82,1469.65,1059.5958,4060.135,1781.173817,HRV
Cyprus,2000-01-01,835.6,2418.0,931.4,115672.0,10105.2,16441.0,5460.0,18000.0,259.0,32034.1,1626.0,0.683,107.13,745.22,381.80164,948.237,344.163153,CYP
Cyprus,2001-01-01,2320.7,2516.0,2275.9,121630.0,9692.6,17132.0,4602.0,21172.4,258.0,32858.9,1944.4,1.23,109.73,864.51,408.45685,964.83,382.685474,CYP
Cyprus,2002-01-01,2427.2,2442.0,2394.4,136889.0,10771.9,17496.0,4517.0,25984.3,261.0,32683.0,2186.4,0.888,110.03,1060.57,354.56696,982.194,411.070027,CYP
Cyprus,2003-01-01,2307.4,2258.0,2263.9,160647.0,12496.0,16924.0,5084.0,23135.5,249.0,30494.3,1976.5,0.649,110.71,796.43,417.1494,1000.35,467.36567,CYP
Cyprus,2004-01-01,1727.9,2290.0,1677.9,156600.0,11969.4,17863.0,4288.0,24470.3,245.0,33284.7,1332.9,0.675,113.53,717.3,416.45984,1018.684,498.718807,CYP
Cyprus,2005-01-01,1147.9,2238.0,1205.6,165912.0,11597.7,18660.0,4186.0,24636.5,234.0,34133.2,1757.0,0.4,108.08,678.16,274.0947,1037.062,476.597933,CYP
Cyprus,2006-01-01,1193.4,2163.0,1219.7,165218.0,12147.4,18371.0,5252.0,29720.3,249.0,30246.4,1395.1,0.684,100.0,861.02,326.00586,1055.438,430.044748,CYP
Cyprus,2007-01-01,1528.8,2260.0,1596.1,165899.0,12315.7,18536.0,4182.0,24721.8,238.0,31703.3,2026.1,0.873,103.19,534.89,327.9607,1073.873,445.144743,CYP
Cyprus,2008-01-01,114.0,2276.0,176.3,191555.0,11723.8,18775.0,4681.0,22504.9,225.0,33531.8,495.4,1.084,84.71,477.75,211.82497,1092.39,539.495596,CYP
Cyprus,2009-01-01,1786.3,2601.0,1823.8,179578.0,10085.0,18798.0,4490.0,22635.8,208.0,34236.7,2549.9,1.027,87.57,728.61,443.7978,1110.974,476.770391,CYP
Cyprus,2010-01-01,1907.3,2724.0,1998.4,139369.0,13753.5,18636.0,4233.0,19271.4,189.0,36949.0,2411.5,2.045,87.64,632.48,286.87213,1129.686,487.520642,CYP
Cyprus,2011-01-01,1831.9,3017.0,1954.4,166467.0,13791.0,18704.0,4459.0,24892.4,188.0,35846.8,2241.3,0.698,84.54,1324.62,406.91058,1145.086,529.084897,CYP
Cyprus,2012-01-01,2323.1,3178.0,2399.3,158581.0,12853.4,18585.0,4577.0,18065.9,204.0,32873.7,2681.1,0.919,75.65,1266.21,566.6676,1156.556,451.62905,CYP
Cyprus,2013-01-01,1530.0,3002.0,1688.0,160515.0,14288.9,18354.0,5001.0,21233.3,198.0,29298.6,2193.5,1.182,72.42,1119.52,290.62527,1166.968,431.648459,CYP
Cyprus,2014-01-01,143.6,3109.0,291.0,159939.0,13762.7,17858.0,5495.0,23411.4,210.0,34063.8,724.5,1.006,86.0,1094.92,340.4421,1176.995,375.067629,CYP
Cyprus,2015-01-01,2537.7,3316.0,2683.0,160104.0,14260.4,18647.0,5679.0,20257.9,215.0,30862.0,2954.0,1.128,85.85,1056.71,386.31305,1187.28,325.067473,CYP
Cyprus,2016-01-01,200.0,3025.0,436.3,221678.0,12318.0,18784.0,6432.0,24360.8,213.0,28640.1,823.0,1.504,83.45,1141.74,276.19055,1197.881,400.979994,CYP
Cyprus,2017-01-01,1712.2,3077.0,1802.7,214111.0,12329.4,18924.0,6703.0,26054.3,207.0,27516.6,1912.0,0.783,81.2,1162.69,289.8177,1208.523,368.276064,CYP
Cyprus,2018-01-01,618.8,3132.0,1052.9,201364.4,10891.0,19909.0,7168.5,23200.4,199.0,32054.2,1502.9,2.104,78.1,1183.61,436.0725,1218.831,380.739734,CYP
Cyprus,2019-01-01,2625.2,3252.0,2656.3,188617.8,9975.4,20101.0,7634.0,21159.8,187.0,33219.4,2782.8,1.496,83.7,1230.77,616.0039,1228.836,388.345707,CYP
Cyprus,2020-01-01,2133.4,3029.0,2381.4,175871.2,9715.8,20079.0,7966.0,24178.9,175.0,29824.2,2671.5,1.632,78.14,1190.58,437.4173,1237.537,401.650301,CYP
Cyprus,2021-01-01,2034.3,2977.0,2063.5,163124.6,9538.4,20080.0,8302.0,24807.0,172.0,32337.5,2104.7,1.948,75.46,1104.02,300.84076,1244.188,968.084602,CYP
Czechia,2000-01-01,3293.4,2888.0,3906.0,150378.0,9196.5,13741.0,53817.0,21330.0,140.0,14633.2,4208.5,1.907,863.53,4533.04,805.3722,10234.71,1534.518903,CZE
Czechia,2001-01-01,3969.9,2984.0,4508.6,150131.0,7963.0,13761.0,57401.0,20881.8,131.0,15271.4,4848.3,1.227,832.21,4649.12,903.8224,10230.276,1672.497722,CZE
Czechia,2002-01-01,3672.7,2921.0,4324.0,159275.0,7635.6,13770.0,58723.0,23512.1,142.0,15552.1,4555.1,1.531,795.54,4977.62,960.2228,10238.17,1616.90274,CZE
Czechia,2003-01-01,3761.6,2899.0,3940.8,158143.0,7426.9,13939.0,59116.0,18968.1,144.0,16913.4,4068.4,1.082,748.07,4590.0,587.62506,10248.038,1804.175972,CZE
Czechia,2004-01-01,4969.3,2878.0,5443.6,154769.0,7355.6,13778.0,61684.0,23956.1,133.0,18546.4,5841.9,0.821,727.92,5318.44,772.11475,10260.999,2137.880719,CZE
Czechia,2005-01-01,4209.5,2883.0,4741.6,161515.0,6488.7,13459.0,64225.0,28083.5,155.0,19219.7,5052.2,0.749,704.85,5384.76,869.98065,10280.113,2260.636059,CZE
Czechia,2006-01-01,3593.2,2894.0,4159.0,159712.0,6307.3,13926.0,65425.0,23052.5,158.0,18027.1,4486.5,0.955,686.6,5693.11,780.7448,10304.815,2433.971241,CZE
Czechia,2007-01-01,3796.8,2942.0,4522.0,161753.0,6818.8,13095.0,76455.0,25715.0,146.0,17413.3,4857.0,2.172,674.8,6194.49,849.3759,10337.829,2941.804504,CZE
Czechia,2008-01-01,4651.5,2924.0,5362.8,163674.0,7805.4,13549.0,69592.0,25834.6,147.0,18553.5,5772.6,1.648,642.62,5440.0,775.40906,10378.583,3414.01933,CZE
Czechia,2009-01-01,4404.0,2860.0,5073.9,166830.0,6955.3,14153.0,70553.0,26189.8,146.0,19619.0,5242.5,1.429,633.98,4759.9,859.3052,10421.51,2659.759744,CZE
Czechia,2010-01-01,4073.9,2907.0,4695.8,177794.0,4973.1,14129.0,70902.0,24564.3,146.0,17170.5,4992.4,0.413,645.71,4957.4,963.55493,10464.749,2162.397078,CZE
Czechia,2011-01-01,4865.3,2904.0,5592.6,176482.0,5896.6,14047.0,73202.0,30447.3,147.0,21208.3,5692.1,1.042,646.82,5306.06,693.8594,10496.379,3072.68626,CZE
Czechia,2012-01-01,4227.9,2888.0,4529.5,176973.0,5793.7,14215.0,76333.0,27980.5,190.0,19927.7,4315.6,1.581,628.52,5345.4,805.603,10511.065,3324.173158,CZE
Czechia,2013-01-01,4566.8,2929.0,5309.3,177115.0,6694.1,14248.0,76444.0,23117.9,194.0,20344.6,5667.6,0.78,631.75,6188.56,825.2688,10514.552,3588.498043,CZE
Czechia,2014-01-01,5611.8,2939.0,6219.8,172049.0,6397.7,14276.0,79128.0,29072.6,203.0,23461.1,6510.4,2.504,625.91,5663.37,789.8546,10517.182,3730.217993,CZE
Czechia,2015-01-01,5441.8,2953.0,5880.6,173016.0,8297.8,13405.0,82173.0,22263.3,204.0,19696.4,6355.9,2.109,650.92,6310.84,667.16565,10523.798,3033.568779,CZE
Czechia,2016-01-01,5665.1,2975.0,6317.0,173905.0,7135.6,13588.0,82790.0,29879.8,207.0,21937.3,6495.9,2.063,661.25,5942.73,794.29395,10527.591,3046.205149,CZE
Czechia,2017-01-01,5225.0,2934.0,5497.5,177563.0,6554.0,13568.0,84445.0,29420.2,206.0,23101.2,5670.5,1.579,635.04,5248.38,807.6023,10531.305,3372.898516,CZE
Czechia,2018-01-01,4945.9,3024.0,5206.9,169511.0,9446.7,13633.0,88163.0,25494.1,206.0,21249.7,5389.6,2.634,670.52,5178.12,634.38116,10534.593,3916.858095,CZE
Czechia,2019-01-01,5376.0,3050.0,5653.2,177378.0,6304.7,13840.25,87314.0,27199.7,203.0,24611.0,5732.5,2.523,664.41,5052.76,754.52,10536.871,3924.603997,CZE
Czechia,2020-01-01,5471.9,3089.0,6042.7,185534.33333333334,7557.7,14047.5,91530.0,29154.9,205.0,25223.6,6138.9,2.322,618.55,4359.75,880.84467,10530.953,3994.355942,CZE
Czechia,2021-01-01,5353.3,3081.0,6113.0,193690.66666666666,7457.1,14254.75,91346.0,29441.7,205.0,25346.5,6321.4,1.281,571.42,4479.84,880.7241,10510.751,4344.140418,CZE
Denmark,2000-01-01,5370.5,2473.0,6216.0,201847.0,7293.0,14462.0,74211.0,42486.3,214.0,22333.5,7479.7,1.707,346.23,3174.0,847.54553,5340.655,3137.166236,DNK
Denmark,2001-01-01,5332.1,2492.0,6126.6,216203.0,6236.6,15052.0,73040.0,40382.8,211.0,24583.4,7355.9,1.031,337.27,3311.0,840.2585,5360.748,3404.013936,DNK
Denmark,2002-01-01,4998.0,2452.0,5761.8,223378.0,6345.8,14901.0,73089.0,39906.6,208.0,26029.0,7034.5,1.64,311.51,2868.0,872.804,5378.697,2680.481706,DNK
Denmark,2003-01-01,5318.7,2468.0,6096.6,218860.0,9405.3,14574.0,76264.0,39119.1,213.0,26442.7,7076.8,0.696,310.96,2954.0,666.75323,5396.355,3040.373438,DNK
Denmark,2004-01-01,5148.6,2472.0,6013.1,225299.0,11407.3,14091.0,77572.0,39741.5,204.0,27053.1,7140.6,1.023,318.95,2899.0,837.38983,5415.586,3592.226205,DNK
Denmark,2005-01-01,5385.3,2556.0,6153.4,250000.0,10849.1,15154.0,81238.0,39410.0,199.0,27811.9,7232.8,1.274,329.32,3246.0,703.6467,5436.313,2534.7672,DNK
